"store_id","ME_ses","RMSE_ses","MAE_ses","MPE_ses","MAPE_ses","ME_holt","RMSE_holt","MAE_holt","MPE_holt","MAPE_holt","ME_holtdamped","RMSE_holtdamped","MAE_holtdamped","MPE_holtdamped","MAPE_holtdamped","ME_ets","RMSE_ets","MAE_ets","MPE_ets","MAPE_ets","ME_stlf","RMSE_stlf","MAE_stlf","MPE_stlf","MAPE_stlf"
"S0002","4881.26","5011.22980986105","4881.26","50.1679885465625","50.1679885465625","4962.48","5091.01035504349","4962.48","50.5771766190304","50.5771766190304","4785.49","4917.99431219069","4785.49","49.6726045031819","49.6726045031819","11434.04","11490.1260106772","11434.04","70.2224029194337","70.2224029194337","2666.408","3004.4748013122","2666.408","34.8394595634367","34.8394595634367"
"S0003","718.156","726.313148304504","718.156","36.875032091767","36.875032091767","161.716","190.254066658245","161.716","11.6646123893577","11.6646123893577","667.94","676.652290353029","667.94","35.2052666514659","35.2052666514659","4572.226","4573.51433190495","4572.226","78.8096062989412","78.8096062989412","870.908","955.097088405153","870.908","39.9358907735533","39.9358907735533"
"S0005","-9.948","66.6748318333087","58.456","-0.849348986125934","4.99090715048026","655.602","658.162928749409","655.602","35.7030309284904","35.7030309284904","173.588","185.403063297239","173.588","12.8157437768146","12.8157437768146","2096.782","2097.81822997609","2096.782","63.9656739821475","63.9656739821475","NaN","NaN","NaN","NaN","NaN"
"S0007","-107.17","164.793410365827","147.074","-13.6418024439918","18.7212321792261","57.582","127.252878552903","96.942","6.19968992446208","10.2442458042763","17.198","118.595063050702","87.506","1.99747133036628","9.60854618860859","87.982","142.616593775058","114.166","9.11539200617087","11.7179166061112","NaN","NaN","NaN","NaN","NaN"
"S0010","3855.018","3880.03531042953","3855.018","57.2135994087214","57.2135994087214","3895.6","3919.3491484633","3895.6","57.4785013084532","57.4785013084532","3727.976","3753.82172138742","3727.976","56.3915283821387","56.3915283821387","5418.878","5436.70387355611","5418.878","65.2735310414609","65.2735310414609","842.552","969.843436127708","842.552","22.3518643029734","22.3518643029734"
"S0012","932.052","973.323523480245","932.052","34.9558388370706","34.9558388370706","847.66","892.430392288385","847.66","32.8350487123265","32.8350487123265","915.874","957.294176280207","915.874","34.5657289064115","34.5657289064115","3985.212","3995.06601141959","3985.212","69.6772636912474","69.6772636912474","714.396","767.889629439023","714.396","28.9112474533021","28.9112474533021"
"S0014","11.8380000000001","148.8351972485","111.746","0.835751350206506","7.8891595185146","78.8140000000001","165.623213288476","114.75","5.3307486792447","7.74915049896824","-40.242","153.62054908117","132.262","-2.94863616930363","9.69412976614274","-201.342","250.100737024104","229.002","-16.7329028397616","19.0316387843128","132.81","180.292146861698","176.01","8.45438100974435","11.3976013833698"
"S0015","9774.744","9779.69197110216","9774.744","77.247315634871","77.247315634871","9926.356","9928.68759599173","9926.356","77.5341053774308","77.5341053774308","9733.626","9738.56382002501","9733.626","77.1733311102962","77.1733311102962","22692.604","23370.0673925661","22692.604","88.3507028219596","88.3507028219596","5192.228","5210.71910902516","5192.228","64.2852603500173","64.2852603500173"
"S0016","39.1620000000001","143.424584712664","117.814","4.6777353081701","14.0723841376015","50.462","143.938387583021","118.106","6.0065897254024","13.9482935873237","39.02","143.20172987782","117.668","4.66532803660729","14.0589480885091","-12.388","138.529461848374","126.588","-1.57678355501814","16.1125182969516","88.856","142.164777212923","118.508","9.92173937710239","13.214158747034"
"S0020","25400.694","25432.2184951203","25400.694","73.2787085297837","73.2787085297837","25665.504","25697.1548330978","25665.504","73.4817966215585","73.4817966215585","25098.584","25130.4788076861","25098.584","73.0437874217093","73.0437874217093","28667.554","28695.4897892477","28667.554","75.5801781123591","75.5801781123591","13358.668","13437.9121034378","13358.668","59.0105454156264","59.0105454156264"
"S0022","699.27","743.311456322314","699.27","27.0844872395722","27.0844872395722","733.168","774.755417302777","733.168","28.0353816341683","28.0353816341683","631.292","679.723799465636","631.292","25.1130409948331","25.1130409948331","186.23","313.392726622683","266.03","9.00196735258148","12.8593318735287","533.144","613.983560659404","533.144","21.4228041313069","21.4228041313069"
"S0023","1091.684","1155.77707488944","1091.684","24.2769080234834","24.2769080234834","1161.204","1229.92248391514","1161.204","25.3777669249395","25.3777669249395","529.88","683.133997719335","622.78","13.3076948542024","15.7093473151852","7575.404","7584.90556659739","7575.404","68.9894831938742","68.9894831938742","1212.582","1613.58725200096","1233.518","23.5913306835571","24.1085141384295"
"S0026","20248.454","20280.3716413852","20248.454","64.5389416271621","64.5389416271621","20264.296","20287.705005098","20264.296","64.5752913173607","64.5752913173607","19596.626","19629.4750987667","19596.626","63.786836853962","63.786836853962","26058.004","26082.8134407813","26058.004","70.0793684090496","70.0793684090496","14090.558","14096.8582781633","14090.558","55.9849307003031","55.9849307003031"
"S0030","169.364","196.797783117595","169.364","23.2075419989586","23.2075419989586","222.164","251.159214921531","222.164","28.0607923676948","28.0607923676948","180.972","214.123175111897","180.972","24.1029896224222","24.1029896224222","193.83","226.546308157957","193.83","25.3378286054918","25.3378286054918","102.83","137.32293697704","102.83","15.3568369646272","15.3568369646272"
"S0032","524.074","531.28164965487","524.074","41.4038996334218","41.4038996334218","543.28","549.908426958526","543.28","42.2903908697097","42.2903908697097","513.76","521.103410274774","513.76","40.9227373471075","40.9227373471075","574.524","581.106238445261","574.524","43.6498735004293","43.6498735004293","476.062","476.788133598142","476.062","39.2578708267617","39.2578708267617"
"S0036","1442.912","1467.34003141739","1442.912","47.2491027689728","47.2491027689728","1434.526","1460.35101865955","1434.526","47.0837359833448","47.0837359833448","1413.27","1438.20990517379","1413.27","46.7319284500689","46.7319284500689","2755.202","2768.07329904033","2755.202","63.103984535504","63.103984535504","NaN","NaN","NaN","NaN","NaN"
"S0038","5833.272","5889.19739470838","5833.272","38.8540035475188","38.8540035475188","5920.294","5971.92737317359","5920.294","39.2149232572572","39.2149232572572","5778.908","5835.31972149599","5778.908","38.6318764372981","38.6318764372981","5726.212","5783.17279672672","5726.212","38.4148394129979","38.4148394129979","2287.926","2747.74338172618","2309.658","19.0939367093959","19.3030738023595"
"S0039","659.516","680.809670936011","659.516","47.2016776049756","47.2016776049756","511.834","537.5179719228","511.834","41.0118831618153","41.0118831618153","590.478","614.13915245651","590.478","44.4583491349781","44.4583491349781","1275.696","1286.83360936836","1275.696","63.3599713918179","63.3599713918179","282.148","319.652509328489","282.148","27.6547124040761","27.6547124040761"
"S0040","1087.35","1221.26674838055","1087.35","21.1909081873476","21.1909081873476","1275.686","1386.21509621703","1275.686","24.0071436900634","24.0071436900634","1012.364","1154.76917347148","1012.364","20.0232130970877","20.0232130970877","4510.78","4544.920093533","4510.78","52.7290452900414","52.7290452900414","1725.526","1775.83718685582","1725.526","30.0118902311897","30.0118902311897"
"S0041","57.472","87.3966251064651","79.02","21.6450738174149","29.7604700210907","58.474","88.2380742083597","79.762","21.9173735768421","29.9152696582938","57.2","87.226621853652","78.864","21.5636552291253","29.7316603567504","54.342","85.3709099166689","77.142","20.7103929265597","29.3997484660239","15.356","43.6015719900097","41.588","8.25157530998125","19.4825304736275"
"S0045","377.432","404.586217066276","377.432","30.8155550656837","30.8155550656837","141.114","199.680907299621","155.266","14.3400769475125","15.766632328344","378.056","405.130274010719","378.056","30.8518127336707","30.8518127336707","856.032","868.346634380534","856.032","50.2540198777746","50.2540198777746","360.998","381.924915893163","360.998","29.7588479791574","29.7588479791574"
"S0046","4479.778","4484.26907488166","4479.778","79.4485500807826","79.4485500807826","4402.864","4405.0118160795","4402.864","79.2065007425428","79.2065007425428","4108.808","4113.3840718513","4108.808","78.0060353163936","78.0060353163936","5937.778","5941.16703888554","5937.778","83.6708616391816","83.6708616391816","NaN","NaN","NaN","NaN","NaN"
"S0050","3406.26","3417.00400374948","3406.26","56.9277410470161","56.9277410470161","3380.744","3395.23092848778","3380.744","56.7088111064054","56.7088111064054","3363.394","3374.32549061587","3363.394","56.6164548343733","56.6164548343733","4786.77","4794.42136309899","4786.77","65.0023967984747","65.0023967984747","2158.736","2189.723759482","2158.736","45.4169090324017","45.4169090324017"
"S0052","394.004","455.4940855818","394.004","22.9695743676144","22.9695743676144","446.098","499.718748197424","446.098","25.264009917487","25.264009917487","371.608","436.195292225856","376.052","21.9516097166868","22.2140620276137","1918.244","1931.81152122043","1918.244","59.2129202332408","59.2129202332408","307.994","504.380864962183","361.774","16.5082077469007","19.9338600094364"
