"store_id","ME_avg","RMSE_avg","MAE_avg","MPE_avg","MAPE_avg","ME_naive","RMSE_naive","MAE_naive","MPE_naive","MAPE_naive","ME_snaive","RMSE_snaive","MAE_snaive","MPE_snaive","MAPE_snaive","ME_rwf","RMSE_rwf","MAE_rwf","MPE_rwf","MAPE_rwf","ME_avgmodels","RMSE_avgmodels","MAE_avgmodels","MPE_avgmodels","MAPE_avgmodels"
"S0002","-1586.15","1949.76840730893","1661.294","-48.6188167066165","50.9221375543308","11435.06","11491.1410322578","11435.06","70.2242681760762","70.2242681760762","-1425.658","2248.17169320762","1955.89","-58.0648973622698","66.4372239296178","11751.93","11807.5686510433","11751.93","70.7897390009482","70.7897390009482","5043.796","5173.06977257798","5043.796","50.9730236376107","50.9730236376107"
"S0003","-354.484","370.731244056931","354.484","-40.517087667162","40.517087667162","4572.656","4573.94421078788","4572.656","78.8111767585194","78.8111767585194","2.08200000000006","678.078649966212","537.314","-20.2483391626554","40.9633463250163","4687.742","4688.63832274361","4687.742","79.2306689682782","79.2306689682782","2227","2234.44483741264","2227","64.3845176481248","64.3845176481248"
"S0005","-9.91800000000003","66.6703623808961","58.45","-0.846765931288849","4.99026705826105","4759.642","4760.09858497279","4759.642","80.1173234761414","80.1173234761414","1171.096","2482.57273437859","1640.12","-9.24758010349644","66.2721127173264","4979.672","4980.53539916744","4979.672","80.830465524004","80.830465524004","2725.122","2782.70742095176","2725.122","69.1728184437976","69.1728184437976"
"S0007","-107.19","164.806417654168","147.086","-13.644695638891","18.7232363349372","839.97","849.247349186325","839.97","48.4764015374494","48.4764015374494","NaN","NaN","NaN","NaN","NaN","1016.48","1019.83804061233","1016.48","53.3627646320438","53.3627646320438","583.086","592.602325425745","583.086","39.6064787571878","39.6064787571878"
"S0010","-473.092","646.007949115179","537.96","-19.6317582568065","22.3235663926501","5419.278","5437.10256213178","5419.278","65.275204162752","65.275204162752","-493.932","689.149943713268","493.932","-21.636626546689","21.636626546689","5546.866","5563.32391492892","5546.866","65.8089360319888","65.8089360319888","2499.78","2537.02940269127","2499.78","46.4512761399268","46.4512761399268"
"S0012","-399.828","488.364802417209","399.828","-29.9611087381696","29.9611087381696","4096.722","4106.30842679164","4096.722","70.2571410931841","70.2571410931841","-54.8300000000001","388.827374679304","303.118","-7.33530239556494","17.2657205962752","4206.582","4215.857407202","4206.582","70.8097548012328","70.8097548012328","1962.162","1975.93300867717","1962.162","53.1732552232256","53.1732552232256"
"S0014","-420.182","445.60598158014","420.182","-42.6827707404285","42.6827707404285","1322.948","1331.24122096636","1322.948","48.5029843523149","48.5029843523149","-278.668","320.208817555045","278.668","-26.2442515631091","26.2442515631091","1360.928","1367.62889094959","1360.928","49.2346671849944","49.2346671849944","496.256","513.562573324809","496.256","26.1602035584972","26.1602035584972"
"S0015","-436.506","535.996522507376","436.506","-17.8706941021379","17.8706941021379","10246.434","10251.1543008805","10246.434","78.0649757114385","78.0649757114385","-533.156","611.935249156314","533.156","-23.6140068262765","23.6140068262765","10493.646","10495.7620474142","10493.646","78.4872230526019","78.4872230526019","4942.606","4949.59297021684","4942.606","63.2155977337562","63.2155977337562"
"S0016","-177.428","224.761305477611","190.772","-28.5892911812571","30.739433782891","708.452","721.762554833652","708.452","47.0266646310297","47.0266646310297","-81.01","174.896572121926","150.87","-14.3001019493535","21.2305887500797","733.034","744.034945509954","733.034","47.9366089005702","47.9366089005702","295.764","319.36293667237","295.764","27.197579760807","27.197579760807"
"S0020","-2305.166","2629.88064167559","2305.166","-33.1331973604589","33.1331973604589","28670.044","28697.9773653796","28670.044","75.5817811015784","75.5817811015784","-2239.826","2746.91890323322","2465.538","-33.4113450696205","36.3844593762974","29381.884","29409.9054998958","29381.884","76.0319283960056","76.0319283960056","13376.734","13442.5182206839","13376.734","59.0716733927526","59.0716733927526"
