store_id,storetype_id,store_size,city_id_old,country_id,city_code,latitude,longitude
S0036,ST04,21,C001,TURKEY,Denizli,37.7833152,29.0844832
S0005,ST04,19,C001,TURKEY,Denizli,37.7833152,29.0844832
S0104,ST04,47,C002,TURKEY,Ankara,39.9207886,32.8540482
S0068,ST03,14,C003,TURKEY,İzmir,38.4224548,27.1310699
S0086,ST03,12,C003,TURKEY,İzmir,38.4224548,27.1310699
S0038,ST01,63,C004,TURKEY,Bursa,40.182737,29.0675481
S0012,ST04,28,C005,TURKEY,Antalya,36.8872942,30.7074549
S0141,ST03,12,C005,TURKEY,Antalya,36.8872942,30.7074549
S0092,ST04,23,C005,TURKEY,Antalya,36.8872942,30.7074549
S0136,ST03,12,C005,TURKEY,Antalya,36.8872942,30.7074549
S0109,ST04,20,C005,TURKEY,Antalya,36.8872942,30.7074549
S0142,ST04,31,C006,TURKEY,Konya,37.872734,32.4924376
S0094,ST04,45,C006,TURKEY,Konya,37.872734,32.4924376
S0030,ST03,13,C006,TURKEY,Konya,37.872734,32.4924376
S0002,ST04,39,C007,TURKEY,Adana,36.9863599,35.3252861
S0045,ST04,17,C008,TURKEY,Şanlıurfa,37.2595198,39.0408174
S0122,ST04,23,C008,TURKEY,Şanlıurfa,37.2595198,39.0408174
S0023,ST04,31,C008,TURKEY,Şanlıurfa,37.2595198,39.0408174
S0088,ST04,20,C009,TURKEY,Gaziantep,37.0628317,37.3792617
S0083,ST04,23,C010,TURKEY,Mersin,36.7978381,34.6298391
S0132,ST04,31,C011,TURKEY,Diyarbakır,37.9162222,40.2363542
S0131,ST04,22,C012,TURKEY,Kayseri,38.6582232,35.5546374
S0091,ST04,19,C013,TURKEY,Samsun,41.2946149,36.3320596
S0041,ST03,8,C013,TURKEY,Samsun,41.2946149,36.3320596
S0095,ST02,44,C014,TURKEY,Istanbul,41.0091982,28.9662187
S0055,ST04,24,C014,TURKEY,Istanbul,41.0091982,28.9662187
S0099,ST03,14,C014,TURKEY,Istanbul,41.0091982,28.9662187
S0059,ST03,15,C014,TURKEY,Istanbul,41.0091982,28.9662187
S0097,ST04,45,C014,TURKEY,Istanbul,41.0091982,28.9662187
S0007,ST03,16,C014,TURKEY,Istanbul,41.0091982,28.9662187
S0107,ST04,19,C014,TURKEY,Istanbul,41.0091982,28.9662187
S0052,ST04,17,C014,TURKEY,Istanbul,41.0091982,28.9662187
S0016,ST03,11,C014,TURKEY,Istanbul,41.0091982,28.9662187
S0089,ST03,18,C014,TURKEY,Istanbul,41.0091982,28.9662187
S0120,ST03,16,C014,TURKEY,Istanbul,41.0091982,28.9662187
S0080,ST03,14,C014,TURKEY,Istanbul,41.0091982,28.9662187
S0014,ST03,14,C014,TURKEY,Istanbul,41.0091982,28.9662187
S0073,ST04,19,C014,TURKEY,Istanbul,41.0091982,28.9662187
S0020,ST04,36,C014,TURKEY,Istanbul,41.0091982,28.9662187
S0085,ST01,60,C014,TURKEY,Istanbul,41.0091982,28.9662187
S0072,ST04,29,C014,TURKEY,Istanbul,41.0091982,28.9662187
S0067,ST04,16,C014,TURKEY,Istanbul,41.0091982,28.9662187
S0076,ST03,11,C014,TURKEY,Istanbul,41.0091982,28.9662187
S0062,ST04,47,C014,TURKEY,Istanbul,41.0091982,28.9662187
S0071,ST04,32,C014,TURKEY,Istanbul,41.0091982,28.9662187
S0026,ST04,41,C014,TURKEY,Istanbul,41.0091982,28.9662187
S0015,ST04,19,C014,TURKEY,Istanbul,41.0091982,28.9662187
S0126,ST04,34,C014,TURKEY,Istanbul,41.0091982,28.9662187
S0003,ST03,17,C014,TURKEY,Istanbul,41.0091982,28.9662187
S0077,ST03,12,C014,TURKEY,Istanbul,41.0091982,28.9662187
S0010,ST04,17,C014,TURKEY,Istanbul,41.0091982,28.9662187
S0022,ST04,16,C014,TURKEY,Istanbul,41.0091982,28.9662187
S0058,ST04,17,C014,TURKEY,Istanbul,41.0091982,28.9662187
S0143,ST03,13,C014,TURKEY,Istanbul,41.0091982,28.9662187
S0039,ST03,15,C014,TURKEY,Istanbul,41.0091982,28.9662187
S0050,ST04,31,C014,TURKEY,Istanbul,41.0091982,28.9662187
S0056,ST04,42,C015,TURKEY,Eskişehir,39.6821156,31.0723476
S0108,ST04,35,C016,TURKEY,Adapazarı,40.7755188,30.4020898
S0040,ST04,42,C017,TURKEY,Kahramanmaraş,37.7830345,36.830655
S0046,ST04,26,C017,TURKEY,Kahramanmaraş,37.7830345,36.830655
S0102,ST04,27,C018,TURKEY,Erzurum,39.90632,41.2727715
S0032,ST03,14,C019,TURKEY,Van,38.3249599,43.6589825
S0061,ST04,35,C019,TURKEY,Van,38.3249599,43.6589825
