store_id,date,summed_revenue
S0002,2017-01-02,171.59
S0002,2017-01-03,178.1
S0002,2017-01-04,303.89
S0002,2017-01-05,274.65
S0002,2017-01-06,193.81
S0002,2017-01-07,384.72
S0002,2017-01-08,306.48
S0002,2017-01-09,332.55
S0002,2017-01-10,173.43
S0002,2017-01-11,287.46999999999997
S0002,2017-01-12,175.5
S0002,2017-01-13,192.12
S0002,2017-01-14,336.36
S0002,2017-01-15,399.48
S0002,2017-01-16,269.94
S0002,2017-01-17,196.89
S0002,2017-01-18,178.21
S0002,2017-01-19,159.3
S0002,2017-01-20,2341.38
S0002,2017-01-21,3862.29
S0002,2017-01-22,396.15
S0002,2017-01-23,242.62
S0002,2017-01-24,225.87
S0002,2017-01-25,207.79
S0002,2017-01-26,259.11
S0002,2017-01-27,246.28
S0002,2017-01-28,461.71
S0002,2017-01-29,435.01
S0002,2017-01-30,201.0
S0002,2017-01-31,224.84
S0002,2017-02-01,264.44
S0002,2017-02-02,181.57
S0002,2017-02-03,212.05
S0002,2017-02-04,398.92
S0002,2017-02-05,262.65
S0002,2017-02-06,285.84999999999997
S0002,2017-02-07,204.29000000000002
S0002,2017-02-08,169.54
S0002,2017-02-09,127.53
S0002,2017-02-10,231.07
S0002,2017-02-11,457.71999999999997
S0002,2017-02-12,759.39
S0002,2017-02-13,276.06
S0002,2017-02-14,356.56
S0002,2017-02-15,269.61
S0002,2017-02-16,233.85
S0002,2017-02-17,418.56
S0002,2017-02-18,313.45
S0002,2017-02-19,487.92
S0002,2017-02-20,277.47
S0002,2017-02-21,265.24
S0002,2017-02-22,189.18
S0002,2017-02-23,217.5
S0002,2017-02-24,260.77
S0002,2017-02-25,326.01
S0002,2017-02-26,437.63
S0002,2017-02-27,322.89
S0002,2017-02-28,354.59000000000003
S0002,2017-03-01,221.49
S0002,2017-03-02,257.93
S0002,2017-03-03,360.12
S0002,2017-03-04,615.02
S0002,2017-03-05,441.33
S0002,2017-03-06,399.0
S0002,2017-03-07,553.62
S0002,2017-03-08,285.89
S0002,2017-03-09,237.51
S0002,2017-03-10,254.17
S0002,2017-03-11,382.07
S0002,2017-03-12,481.90000000000003
S0002,2017-03-13,229.76
S0002,2017-03-14,208.49
S0002,2017-03-15,272.39
S0002,2017-03-16,324.37
S0002,2017-03-17,193.21
S0002,2017-03-18,418.49
S0002,2017-03-19,418.03
S0002,2017-03-20,187.03
S0002,2017-03-21,309.87
S0002,2017-03-22,221.93
S0002,2017-03-23,200.64000000000001
S0002,2017-03-24,222.99
S0002,2017-03-25,446.73
S0002,2017-03-26,412.69
S0002,2017-03-27,137.45
S0002,2017-03-28,180.13
S0002,2017-03-29,255.89000000000001
S0002,2017-03-30,212.72
S0002,2017-03-31,434.72999999999996
S0002,2017-04-01,298.89
S0002,2017-04-02,370.51
S0002,2017-04-03,264.28
S0002,2017-04-04,284.93
S0002,2017-04-05,304.08
S0002,2017-04-06,307.07
S0002,2017-04-07,370.12
