"store_id","date","summed_revenue","result_arima_xreg"
"S0002",2019-09-01,4164.56,10037.13
"S0002",2019-09-08,6267.91,8449.57
"S0002",2019-09-15,5007.57,8295.18
"S0002",2019-09-22,3074.56,5907.22
"S0002",2019-09-29,5728.25,6113.2
"S0003",2019-09-01,1030.02,2228.83
"S0003",2019-09-08,1302.61,2826.29
"S0003",2019-09-15,1255.4,2821.74
"S0003",2019-09-22,1343.15,2208.36
"S0003",2019-09-29,1215.74,2209.04
"S0005",2019-09-01,1177.18,2617.61
"S0005",2019-09-08,1090.34,4465.7
"S0005",2019-09-15,1239.8,4811.3
"S0005",2019-09-22,1130.89,1837.73
"S0005",2019-09-29,1267.78,1952.72
"S0007",2019-09-01,867.3,2017.68
"S0007",2019-09-08,685.84,2548.87
"S0007",2019-09-15,892.32,2568.55
"S0007",2019-09-22,946.83,2082.8
"S0007",2019-09-29,1071.56,2097.8
"S0010",2019-09-01,2947.91,6669.43
"S0010",2019-09-08,2749.2,6784.11
"S0010",2019-09-15,2851.46,7198.71
"S0010",2019-09-22,2247.66,6688.86
"S0010",2019-09-29,3618.38,6582.41
"S0012",2019-09-01,1349.81,2606.71
"S0012",2019-09-08,1937.03,3137.9
"S0012",2019-09-15,1965.89,3143.03
"S0012",2019-09-22,1982.73,2147.36
"S0012",2019-09-29,1436.13,1961.28
"S0014",2019-09-01,1134.12,1440.53
"S0014",2019-09-08,1389.82,1662.65
"S0014",2019-09-15,1482.46,1663.4
"S0014",2019-09-22,1575.78,1446.49
"S0014",2019-09-29,1440.88,1444.41
"S0015",2019-09-01,2545.12,11364.59
"S0015",2019-09-08,2759.73,11797.53
"S0015",2019-09-15,2664.79,12582.95
"S0015",2019-09-22,3001.69,11569.69
"S0015",2019-09-29,3424.1,11487.66
"S0016",2019-09-01,587.25,967.98
"S0016",2019-09-08,698.55,875.04
"S0016",2019-09-15,905.45,870.19
"S0016",2019-09-22,833.36,897.59
"S0016",2019-09-29,965.58,898.66
"S0020",2019-09-01,9500.83,32730.88
"S0020",2019-09-08,9153.79,32980.89
"S0020",2019-09-15,9709.7,34676.97
"S0020",2019-09-22,7027.49,32276.61
"S0020",2019-09-29,10920.37,31999.04
"S0022",2019-09-01,1764.53,2808.61
"S0022",2019-09-08,1521.2,2513.72
"S0022",2019-09-15,2268.27,2697.56
"S0022",2019-09-22,2029.36,2797.92
"S0022",2019-09-29,1829.34,2602.43
"S0023",2019-09-01,3422.93,5765.61
"S0023",2019-09-08,4100.42,5163.11
"S0023",2019-09-15,3097.54,4587.86
"S0023",2019-09-22,3029.67,3645.98
"S0023",2019-09-29,3375.02,3279.04
"S0026",2019-09-01,9467.8,30456.03
"S0026",2019-09-08,10584.75,29275.63
"S0026",2019-09-15,12547.99,32800.81
"S0026",2019-09-22,10771.06,31003.31
"S0026",2019-09-29,12256.18,29810.87
"S0030",2019-09-01,589.66,728.49
"S0030",2019-09-08,532.06,834.06
"S0030",2019-09-15,631.86,834.08
"S0030",2019-09-22,667.16,733.09
"S0030",2019-09-29,381.34,737.17
"S0032",2019-09-01,743.71,1439.73
"S0032",2019-09-08,609.42,1419.34
"S0032",2019-09-15,857.87,1137.96
"S0032",2019-09-22,689.82,1091.25
"S0032",2019-09-29,807.61,1124.9
