"store_id","date","summed_revenue","result_aarima","result_sarima"
"S0002",2019-09-01,4164.56,10503.54,10274.14
"S0002",2019-09-08,6267.91,6794.97,6007.38
"S0002",2019-09-15,5007.57,6817.04,6007.38
"S0002",2019-09-22,3074.56,5833.25,6007.38
"S0002",2019-09-29,5728.25,5991.05,6007.38
"S0003",2019-09-01,1030.02,2710.39,2135.01
"S0003",2019-09-08,1302.61,2034.4,2135.01
"S0003",2019-09-15,1255.4,1886.59,2135.01
"S0003",2019-09-22,1343.15,1854.27,2135.01
"S0003",2019-09-29,1215.74,1847.21,2135.01
"S0005",2019-09-01,1177.18,2247.47,2247.47
"S0005",2019-09-08,1090.34,1421.65,1421.65
"S0005",2019-09-15,1239.8,1237,1237
"S0005",2019-09-22,1130.89,1195.72,1195.72
"S0005",2019-09-29,1267.78,1186.49,1186.49
"S0007",2019-09-01,867.3,785.58,785.58
"S0007",2019-09-08,685.84,785.58,785.58
"S0007",2019-09-15,892.32,785.58,785.58
"S0007",2019-09-22,946.83,785.58,785.58
"S0007",2019-09-29,1071.56,785.58,785.58
"S0010",2019-09-01,2947.91,6553.18,6118.46
"S0010",2019-09-08,2749.2,5795.7,4915.97
"S0010",2019-09-15,2851.46,6169.98,4253.82
"S0010",2019-09-22,2247.66,6410.23,3889.2
"S0010",2019-09-29,3618.38,6298.83,3688.42
"S0012",2019-09-01,1349.81,2621.2,2616.61
"S0012",2019-09-08,1937.03,2633.28,2082.46
"S0012",2019-09-15,1965.89,2645.36,2344.77
"S0012",2019-09-22,1982.73,2657.43,2404.28
"S0012",2019-09-29,1436.13,2669.51,2297.59
"S0014",2019-09-01,1134.12,1442.64,1442.64
"S0014",2019-09-08,1389.82,1442.64,1442.64
"S0014",2019-09-15,1482.46,1442.64,1442.64
"S0014",2019-09-22,1575.78,1442.64,1442.64
"S0014",2019-09-29,1440.88,1442.64,1442.64
"S0015",2019-09-01,2545.12,12253.34,13125.52
"S0015",2019-09-08,2759.73,11912.24,13125.52
"S0015",2019-09-15,2664.79,13568.88,13125.52
"S0015",2019-09-22,3001.69,13326.09,13125.52
"S0015",2019-09-29,3424.1,13123.25,13125.52
"S0016",2019-09-01,587.25,842.01,883.7
"S0016",2019-09-08,698.55,842.01,689.59
"S0016",2019-09-15,905.45,842.01,965.33
"S0016",2019-09-22,833.36,842.01,863.24
"S0016",2019-09-29,965.58,842.01,731.42
"S0020",2019-09-01,9500.83,33934.6,37932.48
"S0020",2019-09-08,9153.79,31652.36,37932.48
"S0020",2019-09-15,9709.7,32925.98,37932.48
"S0020",2019-09-22,7027.49,32942.2,37932.48
"S0020",2019-09-29,10920.37,32744.69,37932.48
"S0022",2019-09-01,1764.53,2748.86,2784.8
"S0022",2019-09-08,1521.2,2316.49,2489.61
"S0022",2019-09-15,2268.27,2704.37,3081.8
"S0022",2019-09-22,2029.36,3094.6,3151.29
"S0022",2019-09-29,1829.34,2801.1,2172.39
"S0023",2019-09-01,3422.93,5733.1,5913.69
"S0023",2019-09-08,4100.42,3813.15,4521.81
"S0023",2019-09-15,3097.54,3242.04,4521.81
"S0023",2019-09-22,3029.67,3704.78,4521.81
"S0023",2019-09-29,3375.02,4468.57,4521.81
"S0026",2019-09-01,9467.8,25620.11,23849.05
"S0026",2019-09-08,10584.75,18141.65,13549.08
"S0026",2019-09-15,12547.99,16575.34,13549.08
"S0026",2019-09-22,10771.06,14056.86,13549.08
"S0026",2019-09-29,12256.18,13999.32,13549.08
"S0030",2019-09-01,589.66,721.65,671
"S0030",2019-09-08,532.06,725.28,695.33
"S0030",2019-09-15,631.86,728.9,786.05
"S0030",2019-09-22,667.16,732.52,402.58
"S0030",2019-09-29,381.34,736.15,756.1
"S0032",2019-09-01,743.71,1404.59,1390.2
"S0032",2019-09-08,609.42,1327.85,1336.49
"S0032",2019-09-15,857.87,1002.75,1028.61
"S0032",2019-09-22,689.82,1095.73,1028.61
"S0032",2019-09-29,807.61,1124.25,1028.61
"S0036",2019-09-01,1613.28,3239.18,3239.18
"S0036",2019-09-08,1552.92,3239.18,3239.18
"S0036",2019-09-15,2018.23,3239.18,3239.18
