"store_id","date","summed_revenue","tslm_revenue","lm_revenue"
"S0002",2019-09-01,4164.56,3821.19,4579.81
"S0002",2019-09-08,6267.91,3985.06,4598.77
"S0002",2019-09-15,5007.57,6440.11,4617.72
"S0002",2019-09-22,3074.56,3859.27,4636.68
"S0002",2019-09-29,5728.25,4213.9,4655.63
"S0003",2019-09-01,1030.02,1085.29,1303.42
"S0003",2019-09-08,1302.61,1240.69,1309.59
"S0003",2019-09-15,1255.4,2220.28,1315.75
"S0003",2019-09-22,1343.15,1260.44,1321.92
"S0003",2019-09-29,1215.74,1369.51,1328.09
"S0005",2019-09-01,1177.18,1608.73,1478.02
"S0005",2019-09-08,1090.34,6745.08,1485.41
"S0005",2019-09-15,1239.8,3582.46,1492.8
"S0005",2019-09-22,1130.89,1006.65,1500.19
"S0005",2019-09-29,1267.78,1241.95,1507.58
"S0007",2019-09-01,867.3,944.94,944.94
"S0007",2019-09-08,685.84,958.79,958.79
"S0007",2019-09-15,892.32,972.65,972.65
"S0007",2019-09-22,946.83,986.51,986.51
"S0007",2019-09-29,1071.56,1000.37,1000.37
"S0010",2019-09-01,2947.91,2476.63,2949.62
"S0010",2019-09-08,2749.2,2958.52,2957.39
"S0010",2019-09-15,2851.46,3275.1,2965.15
"S0010",2019-09-22,2247.66,2626.95,2972.92
"S0010",2019-09-29,3618.38,2863.15,2980.69
"S0012",2019-09-01,1349.81,1664.48,1900.93
"S0012",2019-09-08,1937.03,2040.41,1909.08
"S0012",2019-09-15,1965.89,2515.23,1917.23
"S0012",2019-09-22,1982.73,1783.45,1925.38
"S0012",2019-09-29,1436.13,1968.32,1933.53
"S0014",2019-09-01,1134.12,1072.31,1223.64
"S0014",2019-09-08,1389.82,1357.26,1227.09
"S0014",2019-09-15,1482.46,1485.7,1230.53
"S0014",2019-09-22,1575.78,1254.78,1233.97
"S0014",2019-09-29,1440.88,1432.09,1237.41
"S0015",2019-09-01,2545.12,2818.13,3308.25
"S0015",2019-09-08,2759.73,3069.76,3320.71
"S0015",2019-09-15,2664.79,3820.3,3333.16
"S0015",2019-09-22,3001.69,3235.23,3345.62
"S0015",2019-09-29,3424.1,3244.51,3358.08
"S0016",2019-09-01,587.25,671.9,823.83
"S0016",2019-09-08,698.55,785.34,826.76
"S0016",2019-09-15,905.45,828.48,829.68
"S0016",2019-09-22,833.36,1038.71,832.61
"S0016",2019-09-29,965.58,884.23,835.53
"S0020",2019-09-01,9500.83,7630.32,9011.19
"S0020",2019-09-08,9153.79,8059.22,9040.74
"S0020",2019-09-15,9709.7,9671.22,9070.3
"S0020",2019-09-22,7027.49,8660.77,9099.85
"S0020",2019-09-29,10920.37,8410.22,9129.4
"S0022",2019-09-01,1764.53,1525.09,2070.85
"S0022",2019-09-08,1521.2,2114.43,2074.52
"S0022",2019-09-15,2268.27,2107.86,2078.2
"S0022",2019-09-22,2029.36,2221.78,2081.87
"S0022",2019-09-29,1829.34,2118.57,2085.55
"S0023",2019-09-01,3422.93,3726.98,3921.54
"S0023",2019-09-08,4100.42,3787.81,3938.24
"S0023",2019-09-15,3097.54,5834.64,3954.94
"S0023",2019-09-22,3029.67,3993.76,3971.64
"S0023",2019-09-29,3375.02,4076.94,3988.34
"S0026",2019-09-01,9467.8,8043.96,11141.62
"S0026",2019-09-08,10584.75,9744.51,11175.94
"S0026",2019-09-15,12547.99,12203.84,11210.26
"S0026",2019-09-22,10771.06,10253.33,11244.58
"S0026",2019-09-29,12256.18,10889.65,11278.91
"S0030",2019-09-01,589.66,450.28,485.26
"S0030",2019-09-08,532.06,397,487.8
"S0030",2019-09-15,631.86,583.63,490.33
"S0030",2019-09-22,667.16,458.45,492.87
"S0030",2019-09-29,381.34,407.75,495.41
"S0032",2019-09-01,743.71,918.07,938.88
"S0032",2019-09-08,609.42,838.28,943.16
"S0032",2019-09-15,857.87,1105.17,947.45
"S0032",2019-09-22,689.82,912.45,951.74
"S0032",2019-09-29,807.61,1078.89,956.03
"S0036",2019-09-01,1613.28,1961.24,1647.3
"S0036",2019-09-08,1552.92,1858.21,1657.31
"S0036",2019-09-15,2018.23,2087.31,1667.33
"S0036",2019-09-22,1185.74,1421.83,1677.35
"S0036",2019-09-29,1684.47,1730.93,1687.36
"S0038",2019-09-01,8794.7,9744.49,9780.69
"S0038",2019-09-08,9482.83,9589.96,9822.89
"S0038",2019-09-15,9195.3,12192.3,9865.09
"S0038",2019-09-22,7981.76,10133.6,9907.29
"S0038",2019-09-29,10445.6,9157.87,9949.49
"S0039",2019-09-01,595.78,595.8,764.02
"S0039",2019-09-08,784.55,721.17,767.29
"S0039",2019-09-15,627.13,886.12,770.56
"S0039",2019-09-22,632.01,816,773.83
"S0039",2019-09-29,1049.1,910.5,777.1
"S0040",2019-09-01,3278.88,4299.72,4532.01
"S0040",2019-09-08,3793.41,4559.05,4548.81
"S0040",2019-09-15,4288.84,5654.07,4565.61
"S0040",2019-09-22,4949.22,5058.46,4582.4
"S0040",2019-09-29,3908.95,4873.67,4599.2
"S0041",2019-09-01,319.39,271.15,202.59
"S0041",2019-09-08,228.27,181.1,202
"S0041",2019-09-15,209.61,222.37,201.42
"S0041",2019-09-22,143.22,184.92,200.83
"S0041",2019-09-29,139.75,179.43,200.24
"S0045",2019-09-01,638.9,845.02,1001.19
"S0045",2019-09-08,819.72,928.62,1005.31
"S0045",2019-09-15,757.19,1202.39,1009.42
"S0045",2019-09-22,1027.42,1277.06,1013.54
"S0045",2019-09-29,993.66,1102.42,1017.66
"S0046",2019-09-01,939,1644.89,1638.89
"S0046",2019-09-08,1087.48,2181.8,1648.52
"S0046",2019-09-15,1181.58,2778.68,1658.15
"S0046",2019-09-22,1057.04,2046.36,1667.78
"S0046",2019-09-29,1528.96,2933.33,1677.4
"S0050",2019-09-01,2826.01,2162.27,2582.32
"S0050",2019-09-08,2663.06,2498.59,2595.31
"S0050",2019-09-15,2843.01,2968.17,2608.31
"S0050",2019-09-22,2429.3,2721.71,2621.3
"S0050",2019-09-29,2124.72,2519.28,2634.3
"S0052",2019-09-01,1325.52,936.39,1224.24
"S0052",2019-09-08,1166.98,1284.85,1225.33
"S0052",2019-09-15,1026.7,1612.44,1226.42
"S0052",2019-09-22,1383.06,1164.34,1227.51
"S0052",2019-09-29,1704.37,1179.67,1228.59
"S0055",2019-09-01,1303.78,1188.38,1712.77
"S0055",2019-09-08,1732.97,1755.91,1718.34
"S0055",2019-09-15,1600.22,2253.47,1723.91
"S0055",2019-09-22,1336.62,1928.95,1729.48
"S0055",2019-09-29,2037.8,1779.65,1735.05
"S0056",2019-09-01,4590.57,4861.45,5549.41
"S0056",2019-09-08,4551,4707.51,5574.76
"S0056",2019-09-15,5398.21,6494.85,5600.1
"S0056",2019-09-22,4417.42,4879.81,5625.45
"S0056",2019-09-29,6400.11,5436.85,5650.8
"S0058",2019-09-01,1784.19,1476.45,1881.43
"S0058",2019-09-08,1876.47,1785.74,1885.51
"S0058",2019-09-15,2462.81,2516.05,1889.59
"S0058",2019-09-22,1747.08,1824.21,1893.67
"S0058",2019-09-29,1833.4,1887.98,1897.75
"S0059",2019-09-01,1054.41,997.94,1043.1
"S0059",2019-09-08,1269.29,1269.83,1048.92
"S0059",2019-09-15,938.88,1460.93,1054.75
"S0059",2019-09-22,1133.21,1122.98,1060.58
"S0059",2019-09-29,1156.34,1232.08,1066.41
"S0061",2019-09-01,3299.42,3754.05,4478.66
"S0061",2019-09-08,3938.56,4211,4514.7
"S0061",2019-09-15,4604.98,7410.66,4550.75
"S0061",2019-09-22,3617.98,3822.52,4586.8
"S0061",2019-09-29,3423.16,4101.95,4622.84
"S0062",2019-09-01,9141.85,8489.6,11409.82
"S0062",2019-09-08,10623.03,10553.45,11448.94
"S0062",2019-09-15,11823.53,15846.16,11488.06
"S0062",2019-09-22,10063.72,10844.06,11527.17
"S0062",2019-09-29,13125.9,11295.99,11566.29
"S0067",2019-09-01,1537.99,1656.22,2162.38
"S0067",2019-09-08,2092.81,2058.52,2171.41
"S0067",2019-09-15,2310.53,2086.92,2180.44
"S0067",2019-09-22,1845.99,2105.23,2189.47
"S0067",2019-09-29,1779.58,2347.28,2198.5
"S0068",2019-09-01,366.31,637.46,649.7
"S0068",2019-09-08,453.18,649.08,653.28
"S0068",2019-09-15,458.18,720.29,656.87
"S0068",2019-09-22,607.66,683.89,660.45
"S0068",2019-09-29,1121.8,654.89,664.04
"S0071",2019-09-01,2001.81,2424.91,2202.23
"S0071",2019-09-08,1916.15,3046.44,2215.98
"S0071",2019-09-15,1966.25,4079.28,2229.73
"S0071",2019-09-22,1918.29,2496.91,2243.49
"S0071",2019-09-29,2190.63,2592.68,2257.24
"S0072",2019-09-01,3331,2983.97,3366.14
"S0072",2019-09-08,2895.04,3355.22,3383.52
"S0072",2019-09-15,3292.65,3342.76,3400.9
"S0072",2019-09-22,3448.67,3106.18,3418.28
"S0072",2019-09-29,3368.47,2984.68,3435.66
"S0073",2019-09-01,1415.66,1017.31,1221.69
"S0073",2019-09-08,1761.06,1156.11,1226.28
"S0073",2019-09-15,1322.83,1642.16,1230.88
"S0073",2019-09-22,1386.7,1352.93,1235.47
"S0073",2019-09-29,1306.52,1072.48,1240.06
"S0076",2019-09-01,1445.28,941.22,1291.49
"S0076",2019-09-08,1340.22,1219.19,1303.63
"S0076",2019-09-15,1606.43,1352.21,1315.77
"S0076",2019-09-22,1378.22,1378.54,1327.9
"S0076",2019-09-29,1540.44,1299.53,1340.04
"S0077",2019-09-01,370.93,421.49,502.26
"S0077",2019-09-08,384.62,463.7,503.3
"S0077",2019-09-15,484.36,636.92,504.33
"S0077",2019-09-22,592.53,523.88,505.37
"S0077",2019-09-29,607.48,560.94,506.41
"S0080",2019-09-01,1557.01,1762.12,1905.5
"S0080",2019-09-08,1793.05,1817.68,1912.57
"S0080",2019-09-15,1718.48,1842.74,1919.63
